"Player","Team","Position","Type","Team","Pr","Grp/Max","Date (PST)","Gameweek"
"Alejandro Garnacho","MUN","M","Claim","mg","1","1/99","Tue May 14, 2024, 8:12AM","38"
"Emil Krafth","NEW","D","Drop","mg","","","Tue May 14, 2024, 8:12AM","38"
"Jose Sa","WOL","G","Claim","tj","","","Tue May 14, 2024, 7:13AM","38"
"Adam Wharton","CRY","M","Claim","tj","","","Tue May 14, 2024, 7:12AM","38"
"Lewis Hall","CHE/NEW","D","Drop","tj","","","Tue May 14, 2024, 7:12AM","38"
"Joao Pedro","BHA","F","Claim","vu","","","Tue May 14, 2024, 7:00AM","38"
"Christopher Nkunku","CHE","F","Drop","vu","","","Tue May 14, 2024, 7:00AM","38"
"Ola Aina","NOT","D","Claim","tj","","","Tue May 14, 2024, 7:00AM","38"
"Reece James","CHE","D","Claim","vu","","","Tue May 14, 2024, 7:00AM","38"
"Valentino Livramento","NEW","D","Drop","vu","","","Tue May 14, 2024, 7:00AM","38"
"Ryan Christie","BOU","M","Claim","tj","","","Tue May 14, 2024, 7:00AM","38"
"Arijanet Muric","BUR","G","Claim","vu","","","Tue May 14, 2024, 7:00AM","38"
"Djordje Petrovic","CHE","G","Drop","vu","","","Tue May 14, 2024, 7:00AM","38"
"Marcos Senesi","BOU","D","Claim","tj","","","Tue May 14, 2024, 7:00AM","38"
"Callum Hudson-Odoi","CHE/NOT","F","Claim","vu","","","Tue May 14, 2024, 7:00AM","38"
"Thiago Alcântara","LIV","M","Drop","vu","","","Tue May 14, 2024, 7:00AM","38"
"Harvey Elliott","LIV","M","Claim","mg","1","1/99","Mon May 13, 2024, 11:28AM","37"
"Boubacar Kamara","AVL","M","Drop","mg","","","Mon May 13, 2024, 11:28AM","37"
"Boubacar Kamara","AVL","M","Claim","mg","1","1/99","Mon May 13, 2024, 8:53AM","37"
"Diogo Jota","LIV","F","Drop","mg","","","Mon May 13, 2024, 8:53AM","37"
"Diogo Jota","LIV","F","Claim","mg","1","1/99","Mon May 13, 2024, 8:53AM","37"
"Harvey Elliott","LIV","M","Drop","mg","","","Mon May 13, 2024, 8:53AM","37"
"Harvey Elliott","LIV","M","Claim","mg","1","1/99","Sun May 12, 2024, 5:03PM","37"
"Tyrone Mings","AVL","D","Drop","mg","","","Sun May 12, 2024, 5:03PM","37"
"Nathan Ake","MCI","D","Drop","tj","","","Sun May 12, 2024, 9:08AM","38"
"Joel Veltman","BHA","D","Drop","tj","","","Sun May 12, 2024, 9:08AM","38"
"Gabriel Martinelli","ARS","M","Drop","tj","","","Sun May 12, 2024, 9:08AM","38"
"Jose Sa","WOL","G","Drop","tj","","","Sun May 12, 2024, 9:07AM","38"
"Thomas Partey","ARS","M","Claim","mg","1","1/99","Sun May 12, 2024, 7:31AM","37"
"Jakub Kiwior","ARS","D","Drop","mg","","","Sun May 12, 2024, 7:31AM","37"
"Jakub Kiwior","ARS","D","Claim","mg","1","1/99","Sun May 12, 2024, 7:23AM","37"
"Boubacar Kamara","AVL","M","Drop","mg","","","Sun May 12, 2024, 7:23AM","37"
"Takehiro Tomiyasu","ARS","D","Claim","vu","","","Sun May 12, 2024, 6:57AM","37"
"Rhys Williams","LIV","D","Drop","vu","","","Sun May 12, 2024, 6:57AM","37"
"Gabriel Martinelli","ARS","M","Claim","tj","","","Sat May 11, 2024, 9:05PM","37"
"Dominik Szoboszlai","LIV","M","Drop","tj","","","Sat May 11, 2024, 9:05PM","37"
"Thiago Alcântara","LIV","M","Claim","vu","","","Sat May 11, 2024, 12:02PM","37"
"Alejandro Garnacho","MUN","M","Drop","vu","","","Sat May 11, 2024, 12:02PM","37"
"Dominik Szoboszlai","LIV","M","Claim","tj","","","Sat May 11, 2024, 6:50AM","37"
"Ben Godfrey","EVE","D","Drop","tj","","","Sat May 11, 2024, 6:48AM","37"
"Jose Sa","WOL","G","Claim","tj","","","Sat May 11, 2024, 6:46AM","37"
"Nick Pope","NEW","G","Drop","tj","","","Sat May 11, 2024, 6:46AM","37"
"Danny Welbeck","BHA","F","Claim","mg","1","1/99","Sat May 11, 2024, 6:14AM","37"
"Emerson Royal","TOT","D","Drop","mg","","","Sat May 11, 2024, 6:14AM","37"
"Ruben Dias","MCI","D","Claim","mg","1","1/99","Sat May 11, 2024, 4:09AM","37"
"Danny Welbeck","BHA","F","Drop","mg","","","Sat May 11, 2024, 4:09AM","37"
"Nick Pope","NEW","G","Claim","tj","","","Sat May 11, 2024, 12:08AM","37"
"Chris Wood","NOT","F","Drop","tj","","","Sat May 11, 2024, 12:08AM","37"
"Tyrone Mings","AVL","D","Claim","mg","1","1/99","Fri May 10, 2024, 9:57PM","37"
"Ashley Young","EVE","D","Drop","mg","","","Fri May 10, 2024, 9:57PM","37"
"Danny Welbeck","BHA","F","Claim","mg","1","1/99","Fri May 10, 2024, 9:19PM","37"
"Tyrone Mings","AVL","D","Drop","mg","","","Fri May 10, 2024, 9:19PM","37"
"Julio Enciso","BHA","F","Claim","vu","","","Fri May 10, 2024, 7:00AM","37"
"Joao Pedro","BHA","F","Drop","vu","","","Fri May 10, 2024, 7:00AM","37"
"Tyrone Mings","AVL","D","Claim","mg","1","1/99","Wed May 8, 2024, 12:18PM","37"
"Jonny Evans","MUN","D","Drop","mg","","","Wed May 8, 2024, 12:18PM","37"
"Rhys Williams","LIV","D","Claim","vu","","","Tue May 7, 2024, 8:18AM","37"
"Giovani Lo Celso","TOT","M","Drop","vu","","","Tue May 7, 2024, 8:18AM","37"
"Boubacar Kamara","AVL","M","Claim","mg","1","1/99","Tue May 7, 2024, 8:00AM","37"
"Callum Hudson-Odoi","CHE/NOT","F","Drop","mg","","","Tue May 7, 2024, 8:00AM","37"
"Joel Veltman","BHA","D","Claim","tj","","","Tue May 7, 2024, 7:58AM","37"
"Ederson","MCI","G","Claim","tj","","","Tue May 7, 2024, 7:00AM","37"
"Arijanet Muric","BUR","G","Drop","tj","","","Tue May 7, 2024, 7:00AM","37"
"Joelinton","NEW","M","Claim","mg","4","1/99","Tue May 7, 2024, 7:00AM","37"
"Idrissa Gueye","EVE","M","Drop","mg","","","Tue May 7, 2024, 7:00AM","37"
"Martin Dubravka","NEW","G","Claim","rafa","","","Tue May 7, 2024, 7:00AM","37"
"Bernd Leno","FUL","G","Drop","rafa","","","Tue May 7, 2024, 7:00AM","37"
"Moises Caicedo","BHA/CHE","M","Claim","tj","","","Tue May 7, 2024, 7:00AM","37"
"Benoit Badiashile","CHE","D","Claim","mg","3","1/99","Tue May 7, 2024, 7:00AM","37"
"Mason Mount","MUN","M","Drop","mg","","","Tue May 7, 2024, 7:00AM","37"
"Adam Webster","BHA","D","Claim","vu","","","Tue May 7, 2024, 7:00AM","37"
"Marcos Senesi","BOU","D","Drop","vu","","","Tue May 7, 2024, 7:00AM","37"
"Simon Adingra","BHA","F","Claim","rafa","","","Tue May 7, 2024, 7:00AM","37"
"Jack Grealish","MCI","M","Drop","rafa","","","Tue May 7, 2024, 7:00AM","37"
"Kristoffer Ajer","BRF","D","Claim","sean","","","Fri May 10, 2024, 2:00AM","37"
"Abdoulaye Doucoure","EVE","M","Claim","sean","","","Fri May 10, 2024, 2:00AM","37"
"Morgan Rogers","MCI/AVL","F","Claim","sean","","","Fri May 10, 2024, 2:00AM","37"
"Abdoulaye Doucoure","EVE","M","Drop","sean","","","Mon May 6, 2024, 5:57PM","37"
"Morgan Rogers","MCI/AVL","F","Drop","sean","","","Mon May 6, 2024, 5:56PM","37"
"Kristoffer Ajer","BRF","D","Drop","sean","","","Mon May 6, 2024, 5:56PM","37"
"Luke Shaw","MUN","D","Drop","tj","","","Mon May 6, 2024, 4:06PM","37"
"Mason Mount","MUN","M","Claim","mg","1","1/99","Mon May 6, 2024, 11:22AM","36"
"Harry Maguire","MUN","D","Drop","mg","","","Mon May 6, 2024, 11:22AM","36"
"Jonny Evans","MUN","D","Claim","mg","1","1/99","Sun May 5, 2024, 10:42PM","36"
"Adam Wharton","CRY","M","Drop","mg","","","Sun May 5, 2024, 10:42PM","36"
"Dominik Szoboszlai","LIV","M","Drop","tj","","","Sun May 5, 2024, 8:29AM","37"
"Adam Wharton","CRY","M","Claim","mg","1","1/99","Sun May 5, 2024, 7:38AM","36"
"Virgil van Dijk","LIV","D","Drop","mg","","","Sun May 5, 2024, 7:38AM","36"
"Dean Henderson","MUN/CRY","G","Claim","zach","","","Sun May 5, 2024, 5:34AM","36"
"Malo Gusto","CHE","D","Claim","vu","","","Sun May 5, 2024, 5:09AM","36"
"Valentin Barco","BHA","D","Drop","vu","","","Sun May 5, 2024, 5:09AM","36"
"Luke Shaw","MUN","D","Claim","tj","","","Sat May 4, 2024, 2:22PM","36"
"Harvey Barnes","NEW","M","Drop","tj","","","Sat May 4, 2024, 6:10AM","36"
"David Raya","BRF/ARS","G","Claim","md","","","Fri May 3, 2024, 3:55PM","36"
"Ederson","MCI","G","Drop","md","","","Fri May 3, 2024, 3:55PM","36"
"Abdoulaye Doucoure","EVE","M","Claim","sean","","","Fri May 3, 2024, 11:48AM","36"
"Jacob Bruun Larsen","BUR","F","Drop","sean","","","Fri May 3, 2024, 11:48AM","36"
"Casemiro","MUN","M","Claim","ben","","","Fri May 3, 2024, 10:09AM","36"
"Kobbie Mainoo","MUN","M","Drop","ben","","","Fri May 3, 2024, 10:09AM","36"
"Timo Werner","CHE/TOT","F","Drop","ben","","","Fri May 3, 2024, 10:03AM","36"
"Miguel Almiron","NEW","M","Claim","ben","","","Fri May 3, 2024, 10:02AM","36"
"Gabriel Martinelli","ARS","M","Drop","katabe","","","Fri May 3, 2024, 9:57AM","36"
"Toti","WOL","D","Claim","katabe","","","Fri May 3, 2024, 9:54AM","36"
"Diogo Jota","LIV","F","Drop","katabe","","","Fri May 3, 2024, 9:53AM","36"
"Vitalii Mykolenko","EVE","D","Drop","katabe","","","Fri May 3, 2024, 9:53AM","36"
"Ben Brereton","SHU","F","Claim","katabe","","","Fri May 3, 2024, 9:52AM","36"
"Elijah Adebayo","LUT","F","Claim","katabe","","","Fri May 3, 2024, 9:52AM","36"
"Illia Zabarnyi","BOU","D","Drop","md","","","Fri May 3, 2024, 8:07AM","36"
"James Ward-Prowse","SOU/WHU","M","Claim","md","","","Fri May 3, 2024, 8:03AM","36"
"Kaoru Mitoma","BHA","M","Drop","md","","","Fri May 3, 2024, 8:01AM","36"
"Idrissa Gueye","EVE","M","Claim","mg","1","1/99","Thu May 2, 2024, 8:01PM","36"
"Enes Unal","MCI/BOU","F","Drop","mg","","","Thu May 2, 2024, 8:01PM","36"
"Ashley Young","EVE","D","Claim","mg","1","1/99","Thu May 2, 2024, 7:59PM","36"
"Takehiro Tomiyasu","ARS","D","Drop","mg","","","Thu May 2, 2024, 7:59PM","36"
"Trevoh Chalobah","CHE","D","Claim","mg","1","1/99","Thu May 2, 2024, 11:59AM","36"
"Reece James","CHE","D","Drop","mg","","","Thu May 2, 2024, 11:59AM","36"
"Enes Unal","MCI/BOU","F","Claim","mg","1","1/99","Wed May 1, 2024, 8:31PM","36"
"Antoine Semenyo","BOU","F","Drop","mg","","","Wed May 1, 2024, 8:31PM","36"
"Christopher Nkunku","CHE","F","Claim","vu","","","Wed May 1, 2024, 12:26PM","36"
"Malo Gusto","CHE","D","Drop","vu","","","Wed May 1, 2024, 12:26PM","36"
"Emerson Royal","TOT","D","Claim","mg","1","1/99","Wed May 1, 2024, 8:35AM","36"
"Ben Davies","TOT","D","Drop","mg","","","Wed May 1, 2024, 8:33AM","36"
"Takehiro Tomiyasu","ARS","D","Claim","mg","1","1/99","Tue Apr 30, 2024, 9:28AM","36"
"Elliot Anderson","NEW","M","Drop","mg","","","Tue Apr 30, 2024, 9:28AM","36"
"Gustavo Hamer","SHU","M","Claim","sean","","","Tue Apr 30, 2024, 8:58AM","36"
"Moises Caicedo","BHA/CHE","M","Drop","sean","","","Tue Apr 30, 2024, 8:58AM","36"
"Justin Kluivert","BOU","M","Claim","sean","","","Tue Apr 30, 2024, 8:56AM","36"
"Valentin Barco","BHA","D","Claim","vu","","","Tue Apr 30, 2024, 7:02AM","36"
"Romeo Lavia","SOU/CHE","M","Drop","vu","","","Tue Apr 30, 2024, 7:02AM","36"
"Arijanet Muric","BUR","G","Claim","tj","","","Tue Apr 30, 2024, 7:00AM","36"
"Jose Sa","WOL","G","Drop","tj","","","Tue Apr 30, 2024, 7:00AM","36"
"Harvey Barnes","NEW","M","Claim","tj","","","Tue Apr 30, 2024, 7:00AM","36"
"Callum Hudson-Odoi","CHE/NOT","F","Claim","mg","2","1/99","Tue Apr 30, 2024, 7:00AM","36"
"Nathan Ake","MCI","D","Claim","tj","","","Tue Apr 30, 2024, 7:00AM","36"
"Emil Krafth","NEW","D","Claim","mg","1","1/99","Tue Apr 30, 2024, 7:00AM","36"
"Tosin Adarabioyo","FUL","D","Drop","mg","","","Mon Apr 29, 2024, 3:28PM","36"
"Boubacar Kamara","AVL","M","Drop","mg","","","Mon Apr 29, 2024, 3:28PM","36"
"Destiny Udogie","TOT","D","Drop","ben","","","Mon Apr 29, 2024, 9:29AM","36"
"Benoit Badiashile","CHE","D","Drop","tj","","","Sun Apr 28, 2024, 12:04PM","36"
"Taiwo Awoniyi","NOT","F","Drop","tj","","","Sun Apr 28, 2024, 12:04PM","36"
"Ryan Christie","BOU","M","Drop","sean","","","Sun Apr 28, 2024, 5:49AM","35"
"Lucas Digne","AVL","D","Claim","sean","","","Sat Apr 27, 2024, 11:14AM","35"
"Ezri Konsa","AVL","D","Drop","sean","","","Sat Apr 27, 2024, 11:14AM","35"
"Benoit Badiashile","CHE","D","Claim","tj","","","Sat Apr 27, 2024, 11:10AM","35"
"Axel Disasi","CHE","D","Drop","tj","","","Sat Apr 27, 2024, 11:10AM","35"
"Jacob Bruun Larsen","BUR","F","Claim","sean","","","Sat Apr 27, 2024, 6:55AM","35"
"Adam Smith","BOU","D","Drop","sean","","","Sat Apr 27, 2024, 6:55AM","35"
"Elliot Anderson","NEW","M","Claim","mg","1","1/99","Sat Apr 27, 2024, 6:20AM","35"
"Sandro Tonali","NEW","M","Drop","mg","","","Sat Apr 27, 2024, 6:20AM","35"
"Alfie Gilchrist","CHE","D","Drop","katabe","","","Sat Apr 27, 2024, 6:18AM","35"
"Romeo Lavia","SOU/CHE","M","Claim","vu","","","Sat Apr 27, 2024, 6:16AM","35"
"Pablo Sarabia","WOL","M","Drop","vu","","","Sat Apr 27, 2024, 6:16AM","35"
"Taiwo Awoniyi","NOT","F","Claim","tj","","","Sat Apr 27, 2024, 6:09AM","35"
"Emerson Royal","TOT","D","Drop","tj","","","Sat Apr 27, 2024, 6:09AM","35"
"Lewis Hall","CHE/NEW","D","Claim","tj","","","Sat Apr 27, 2024, 6:04AM","35"
"Harvey Barnes","NEW","M","Drop","tj","","","Sat Apr 27, 2024, 6:04AM","35"
"Valentino Livramento","NEW","D","Claim","vu","","","Sat Apr 27, 2024, 6:03AM","35"
"Emil Krafth","NEW","D","Drop","vu","","","Sat Apr 27, 2024, 6:03AM","35"
"Jordan Ayew","CRY","F","Claim","katabe","","","Sat Apr 27, 2024, 4:47AM","35"
"Simon Adingra","BHA","F","Drop","katabe","","","Sat Apr 27, 2024, 4:47AM","35"
"Alfie Gilchrist","CHE","D","Claim","katabe","","","Sat Apr 27, 2024, 4:45AM","35"
"Sean Longstaff","NEW","M","Claim","katabe","","","Sat Apr 27, 2024, 4:44AM","35"
"Timothy Castagne","LEI/FUL","D","Claim","katabe","","","Sat Apr 27, 2024, 4:42AM","35"
"Beto","EVE","F","Drop","katabe","","","Sat Apr 27, 2024, 4:36AM","35"
"Amadou Onana","EVE","M","Drop","katabe","","","Sat Apr 27, 2024, 4:36AM","35"
"Jacob Murphy","NEW","M","Claim","vu","","","Sat Apr 27, 2024, 3:58AM","35"
"James Ward-Prowse","SOU/WHU","M","Drop","vu","","","Sat Apr 27, 2024, 3:58AM","35"
"Boubacar Kamara","AVL","M","Claim","mg","1","1/99","Sat Apr 27, 2024, 12:19AM","35"
"Marcus Tavernier","BOU","M","Drop","mg","","","Sat Apr 27, 2024, 12:19AM","35"
"Sandro Tonali","NEW","M","Claim","mg","1","1/99","Fri Apr 26, 2024, 9:53PM","35"
"Ibrahima Konate","LIV","D","Drop","mg","","","Fri Apr 26, 2024, 9:53PM","35"
"Reece James","CHE","D","Claim","mg","1","1/99","Fri Apr 26, 2024, 8:59PM","35"
"Boubacar Kamara","AVL","M","Drop","mg","","","Fri Apr 26, 2024, 8:59PM","35"
"Marcus Tavernier","BOU","M","Claim","mg","1","1/99","Fri Apr 26, 2024, 8:47PM","35"
"Chris Richards","CRY","D","Drop","mg","","","Fri Apr 26, 2024, 8:47PM","35"
"Moises Caicedo","BHA/CHE","M","Claim","sean","","","Fri Apr 26, 2024, 6:13PM","35"
"Justin Kluivert","BOU","M","Drop","sean","","","Fri Apr 26, 2024, 6:13PM","35"
"Boubacar Kamara","AVL","M","Claim","mg","1","1/99","Fri Apr 26, 2024, 6:12PM","35"
"Callum Wilson","NEW","F","Claim","ben","","","Fri Apr 26, 2024, 6:00PM","35"
"Pedro Neto","WOL","F","Claim","ben","","","Fri Apr 26, 2024, 6:00PM","35"
"Kobbie Mainoo","MUN","M","Claim","ben","","","Fri Apr 26, 2024, 5:59PM","35"
"David Raya","BRF/ARS","G","Drop","ben","","","Fri Apr 26, 2024, 5:54PM","35"
"Willian","FUL","F","Drop","ben","","","Fri Apr 26, 2024, 5:54PM","35"
"Andrew Omobamidele","NOR/NOT","D","Drop","katabe","","","Fri Apr 26, 2024, 3:49PM","35"
"Ezri Konsa","AVL","D","Claim","sean","","","Fri Apr 26, 2024, 9:17AM","35"
"Jakub Kiwior","ARS","D","Drop","sean","","","Fri Apr 26, 2024, 9:17AM","35"
"Axel Disasi","CHE","D","Claim","tj","","","Fri Apr 26, 2024, 7:04AM","35"
"Lucas Digne","AVL","D","Drop","tj","","","Fri Apr 26, 2024, 7:04AM","35"
"Emil Krafth","NEW","D","Claim","vu","","","Fri Apr 26, 2024, 7:00AM","35"
"Ashley Young","EVE","D","Drop","vu","","","Fri Apr 26, 2024, 7:00AM","35"
"Noni Madueke","CHE","F","Claim","vu","","","Fri Apr 26, 2024, 7:00AM","35"
"Dango Ouattara","BOU","F","Drop","vu","","","Fri Apr 26, 2024, 7:00AM","35"
"Djordje Petrovic","CHE","G","Claim","vu","","","Fri Apr 26, 2024, 7:00AM","35"
"Dean Henderson","MUN/CRY","G","Drop","vu","","","Fri Apr 26, 2024, 7:00AM","35"
"Anthony Martial","MUN","F","Drop","mg","","","Fri Apr 26, 2024, 6:28AM","35"
"Morgan Rogers","MCI/AVL","F","Claim","sean","","","Thu Apr 25, 2024, 9:05PM","35"
"Jacob Bruun Larsen","BUR","F","Drop","sean","","","Thu Apr 25, 2024, 9:05PM","35"
"Nelson Semedo","WOL","D","Drop","sean","","","Thu Apr 25, 2024, 4:26PM","35"
"Giovani Lo Celso","TOT","M","Claim","vu","","","Thu Apr 25, 2024, 2:09PM","35"
"Gustavo Hamer","SHU","M","Drop","vu","","","Thu Apr 25, 2024, 2:09PM","35"
"Emerson Royal","TOT","D","Claim","tj","","","Thu Apr 25, 2024, 2:01PM","35"
"Jarell Quansah","LIV","D","Drop","tj","","","Thu Apr 25, 2024, 2:01PM","35"
"Dejan Kulusevski","TOT","M","Claim","sean","","","Thu Apr 25, 2024, 12:27PM","35"
"Adam Wharton","CRY","M","Drop","sean","","","Thu Apr 25, 2024, 12:27PM","35"
"Kristoffer Ajer","BRF","D","Claim","sean","","","Thu Apr 25, 2024, 11:36AM","35"
"Lucas Digne","AVL","D","Claim","tj","","","Thu Apr 25, 2024, 11:32AM","35"
"Enzo Fernandez","CHE","M","Drop","tj","","","Thu Apr 25, 2024, 11:25AM","35"
"Ben Godfrey","EVE","D","Claim","tj","","","Thu Apr 25, 2024, 10:37AM","35"
"Dara O'Shea","BUR","D","Drop","sean","","","Thu Apr 25, 2024, 8:58AM","35"
"Tomas Soucek","WHU","M","Claim","sean","","","Wed Apr 24, 2024, 5:24PM","35"
"Jarell Quansah","LIV","D","Claim","tj","","","Wed Apr 24, 2024, 3:14PM","35"
"Abdoulaye Doucoure","EVE","M","Drop","tj","","","Wed Apr 24, 2024, 3:13PM","35"
"Marcus Tavernier","BOU","M","Drop","tj","","","Wed Apr 24, 2024, 3:13PM","35"
"Marcus Tavernier","BOU","M","Claim","tj","","","Wed Apr 24, 2024, 3:10PM","35"
"Milos Kerkez","BOU","D","Drop","tj","","","Wed Apr 24, 2024, 3:06PM","35"
"Giovanni Reyna","NOT","M","Drop","sean","","","Tue Apr 23, 2024, 8:28AM","35"
"Cody Gakpo","LIV","F","Claim","tj","","","Tue Apr 23, 2024, 7:02AM","35"
"Jacob Bruun Larsen","BUR","F","Claim","sean","","","Tue Apr 23, 2024, 7:00AM","35"
"Oliver McBurnie","SHU","F","Drop","sean","","","Tue Apr 23, 2024, 7:00AM","35"
"Ben Davies","TOT","D","Claim","mg","1","1/99","Mon Apr 22, 2024, 3:05PM","34"
"Emerson Royal","TOT","D","Drop","mg","","","Mon Apr 22, 2024, 3:05PM","34"
"Emerson Royal","TOT","D","Claim","mg","1","1/99","Mon Apr 22, 2024, 2:36PM","34"
"Luke Shaw","MUN","D","Drop","mg","","","Mon Apr 22, 2024, 2:36PM","34"
"Marc Cucurella","CHE","D","Claim","vu","","","Mon Apr 22, 2024, 7:58AM","34"
"Ben Chilwell","CHE","D","Drop","vu","","","Mon Apr 22, 2024, 7:58AM","34"
"Toti","WOL","D","Drop","tj","","","Sun Apr 21, 2024, 8:24AM","35"
"Bart Verbruggen","BHA","G","Drop","katabe","","","Sat Apr 20, 2024, 11:11PM","34"
"Amadou Onana","EVE","M","Claim","katabe","","","Sat Apr 20, 2024, 11:10PM","34"
"Nathaniel Clyne","CRY","D","Claim","katabe","","","Sat Apr 20, 2024, 11:07PM","34"
"Scott McKenna","NOT","D","Drop","katabe","","","Sat Apr 20, 2024, 10:58PM","34"
"Andrew Omobamidele","NOR/NOT","D","Claim","katabe","","","Sat Apr 20, 2024, 10:58PM","34"
"Jakub Kiwior","ARS","D","Claim","sean","","","Sat Apr 20, 2024, 11:09AM","34"
"Ruben Dias","MCI","D","Drop","sean","","","Sat Apr 20, 2024, 11:09AM","34"
"Beto","EVE","F","Claim","katabe","","","Sat Apr 20, 2024, 7:30AM","34"
"Oscar Bobb","MCI","M","Drop","katabe","","","Sat Apr 20, 2024, 7:01AM","34"
"Rico Lewis","MCI","D","Drop","katabe","","","Sat Apr 20, 2024, 7:01AM","34"
"Scott McKenna","NOT","D","Claim","katabe","","","Sat Apr 20, 2024, 6:59AM","34"
"Kurt Zouma","WHU","D","Drop","katabe","","","Sat Apr 20, 2024, 6:58AM","34"
"Nathan Collins","BRF","D","Claim","katabe","","","Sat Apr 20, 2024, 6:58AM","34"
"Mads Roerslev","BRF","D","Drop","katabe","","","Sat Apr 20, 2024, 6:58AM","34"
"Dango Ouattara","BOU","F","Claim","vu","","","Fri Apr 19, 2024, 11:26PM","34"
"Mathias Jensen","BRF","M","Drop","vu","","","Fri Apr 19, 2024, 11:26PM","34"
"Dara O'Shea","BUR","D","Claim","sean","","","Fri Apr 19, 2024, 6:02PM","34"
"Joel Ward","CRY","D","Drop","sean","","","Fri Apr 19, 2024, 6:02PM","34"
"Luke Shaw","MUN","D","Claim","mg","1","1/99","Fri Apr 19, 2024, 3:01PM","34"
"Chris Mepham","BOU","D","Drop","mg","","","Fri Apr 19, 2024, 3:01PM","34"
"Anthony Martial","MUN","F","Claim","mg","1","1/99","Fri Apr 19, 2024, 2:42PM","34"
"Jefferson Lerma","CRY","M","Drop","mg","","","Fri Apr 19, 2024, 2:42PM","34"
"Harvey Elliott","LIV","M","Drop","ben","","","Fri Apr 19, 2024, 12:43PM","34"
"Adam Smith","BOU","D","Claim","sean","","","Fri Apr 19, 2024, 8:05AM","34"
"Ashley Young","EVE","D","Claim","vu","","","Fri Apr 19, 2024, 7:03AM","34"
"Adam Smith","BOU","D","Drop","vu","","","Fri Apr 19, 2024, 7:03AM","34"
"Chris Richards","CRY","D","Claim","mg","1","1/99","Fri Apr 19, 2024, 6:46AM","34"
"Tyrell Malacia","MUN","D","Drop","mg","","","Fri Apr 19, 2024, 6:46AM","34"
"Dean Henderson","MUN/CRY","G","Claim","vu","","","Wed Apr 17, 2024, 7:28AM","34"
"Ivo Grbic","SHU","G","Drop","vu","","","Wed Apr 17, 2024, 7:28AM","34"
"Tyrell Malacia","MUN","D","Claim","mg","1","1/99","Tue Apr 16, 2024, 9:56AM","34"
